sample_id,filename,md5,title,description,type,href,size,download_link,last_checked
13029,k-lite_codec_pack_1826_standard.exe,2f876dc3879e1f474d085586fda5d29b,K-Lite Codec Pack,"Install codecs for playing, decoding, and encoding audio and video files.",most_popular,https://k-lite-codec-pack.informer.com/,37 MB,http://codecguide.com/about_kl.htm,"June 19, 2024."
13030,zoominstallerfull.exe,62012407d2ad4b9d18b5624c98dc355f,Zoom,Simplify video conferencing and messaging across any device.,most_popular,https://zoom1.software.informer.com/,78.8 MB,https://zoom1.software.informer.com/download/?ca3607f6,"March 15, 2024."
13031,unitywebplayer.exe,0de94f3074ea0fc76a908e53befeb34b,Unity Web Player,View blazing 3D content created with Unity.,most_popular,https://unity-web-player.software.informer.com/,573 KB,https://unity-web-player.software.informer.com/download/?ca181a1,"May 24, 2024."
13032,idcc.5.5.1.84.release.zip,4030386d1c644edf3f44d35526be4056,Intel Desktop Control Center,"Tune, cool, and maximize performance of your Intel Extreme Series Desktop Board.",most_popular,https://intel-desktop-control-center.software.informer.com/,20.5 MB,https://intel-desktop-control-center.software.informer.com/download/?cf185f1b,"May 24, 2024."
13033,k-lite_codec_pack_1826_mega.exe,87585debb708f5290ef57e3004ecd544,K-Lite Mega Codec Pack,"Play, decode, and encode audio and video formats using codecs.",most_popular,https://k-lite-mega-codec-pack.software.informer.com/,63.7 MB,http://www.codecguide.com/features_mega.htm,"April 2, 2024."
13034,setup-wildgames.exe,fce80a1adc8cfeb2a5abb11244f08028,WildTangent,Explore Wild Games' massive game catalog with this free program.,most_popular,https://wildtangent16.software.informer.com/,1.2 MB,http://www.wildtangent.com/gamesapp,"June 6, 2024."
13035,winpcap_4_1_3.exe,a11a2f0cfe6d0b4c50945989db6360cd,WinPcap,Tool to allow applications to capture and transmit network packets.,most_popular,https://winpcap.informer.com/,893 KB,https://winpcap.informer.com/download/?ca1739d6,"June 5, 2024."
13036,anydesk.exe,e6c3ab2ee9a613efdf995043b140fd8e,AnyDesk,Access remote desktop computers for technical support and file transfer.,most_popular,https://anydesk.software.informer.com/,3.6 MB,https://anydesk.software.informer.com/download/?ca250a73,"July 7, 2024."
13037,audacity-win-3.4.2-32bit.exe,79770d516b49a5839bbf4032c34a7bbc,Audacity,"Create, edit, and enhance your audio files with a professional open-source tool.",most_popular,https://audacity.software.informer.com/,13.8 MB,https://audacity.software.informer.com/download/?ca366bf5,"June 6, 2024."
13038,spotifysetup.exe,84f1ccbe0c4296c632bab43a4ca6fe44,Spotify,Platform that gives you instant access to millions of songs.,most_popular,https://spotify.software.informer.com/,889 KB,https://spotify.software.informer.com/download/?ca1adb54,"May 24, 2024."
13039,cdgs2020.exe,4ff3c0a54fc3863a23e63a356719142e,CorelDRAW Graphics Suite,"Create vector illustrations, edit photos, and create page layouts.",most_popular,https://coreldraw4.software.informer.com/,1.9 MB,https://coreldraw4.software.informer.com/download/?ca1b330e,"March 29, 2024."
13040,teracopy.exe,d704e453e065a23ed414927d9b203086,TeraCopy,Make file transfers with faster speed and error detection.,most_popular,https://teracopy.informer.com/,11.8 MB,http://www.codesector.com/teracopy,"May 26, 2024."
13041,python-3.8.5.exe,959873b37b74c1508428596b7f9df151,Python,Create web and desktop applications using an object oriented language.,most_popular,https://python.informer.com/,25.5 MB,https://python.informer.com/download/?ca1e622c,"July 1, 2024."
13042,microsoftedgesetup.exe,c9ef06c5db64ec99e442eb4bde593bcc,Microsoft Edge,A Chromium-based browser supporting Chrome extensions.,most_popular,https://microsoft-edge1.software.informer.com/,1.6 MB,https://www.microsoft.com/en-us/edge,"June 14, 2024."
13044,esu_462.exe,c59ae286b4282da32b862848676a2620,Epson Software Updater,Update software of your EPSON devices to the latest version.,most_popular,https://epson-software-updater.software.informer.com/,5.5 MB,https://epson-software-updater.software.informer.com/download/?ca2b4e50,"May 25, 2023."
13046,bt-23.10.0-64uwd-win10-win11.exe,3d1299ef2998b60d60d0b0676916ab32,Intel Wireless Bluetooth,,most_popular,https://intel-wireless-bluetooth.software.informer.com/,58.2 MB,https://intel-wireless-bluetooth.software.informer.com/download/?ca35bba9,"July 7, 2024."
13047,chrome-win.zip,656ebf4fb6406baa4a81d7626e2587c0,Chromium,"Surf the Internet securely, and synchronize your bookmarks.",most_popular,https://chromium.informer.com/,198 MB,https://www.chromium.org/chromium-projects/,"May 12, 2024."
13048,discordsetup.exe,e566828b19ea32efd096d427f1350c08,Discord,An interesting option to instant messaging programs with a fresher look.,most_popular,https://discord.software.informer.com/,91.1 MB,https://discord.com/,"May 7, 2024."
13049,yandex.exe,470db3e4be91d0d189ac8a47f0f4e6cb,Yandex.Browser,Web browser with DNS Spoofing Protection and optimized page loads.,most_popular,https://yandex-browser.informer.com/,5.8 MB,https://yandex-browser.informer.com/download/?ca360839,"June 4, 2024."
13050,sp63752.exe,cc01bcc0814ac29e413d9a1a55425255,HP Wireless Button Driver,It provides the HP Wireless Button driver for supported notebook models.,most_popular,https://hp-wireless-button-driver.software.informer.com/,2.8 MB,https://hp-wireless-button-driver.software.informer.com/download/?ca65e54,"May 24, 2024."
13052,virtualbox-5.2.18-124319-win.exe,037be3067d7d82d268b9b5f82ed07331,VirtualBox,Run more than on operating system in virtual mode inside Windows.,most_popular,https://virtualbox.informer.com/,108 MB,https://virtualbox.informer.com/download/?ca1abf63,"September 22, 2023."
13053,nitro_pro13_ba_x64.msi,2f0cc6b322f964ba41ba98d7db523935,Nitro Pro,"Create, edit, convert, sign, and annotate PDF documents.",most_popular,https://nitro-pro.informer.com/,202 MB,https://nitro-pro.informer.com/download/?ca1b2935,"June 11, 2024."
13054,evernote-10.59.5-win-ddl-stage-5236-9c2e448cbf0a50ab27a2635aa27a36eea1db877a-setup.exe,b7739ed6beea95076908fd623389523d,Evernote,"Increase your productivity by managing notes, lists and events.",most_popular,https://evernote.software.informer.com/,283 MB,https://evernote.com/,"April 18, 2024."
13055,39acf50d7675d27cb33c058c272e9f5e_unlocker_1.9.2.msi,16be23c2ebbc5d09f9b6195442e2b8b0,Unlocker,"This utility allows you to unlock, delete, rename or move locked files.",most_popular,https://unlocker.informer.com/,338 KB,https://unlocker.informer.com/download/?ca1a2e43,"February 21, 2024."
13056,webadvisorinstaller.exe,4d1523d6e89d3215d0efec84b6afdeac,McAfee WebAdvisor,McAfee WebAdvisor protects you from the most common online threats.,most_popular,https://mcafee-webadvisor.software.informer.com/,52.9 MB,https://mcafee-webadvisor.software.informer.com/download/?ca365c70,"June 27, 2024."
13057,epicinstaller-15.1.1.msi,6ec9171bd60cd632b6c1e9b2e8983d87,Epic Games Launcher,Download and launch Epic Games' products directly from this application.,most_popular,https://epic-games-launcher.software.informer.com/,176 MB,https://epic-games-launcher.software.informer.com/download/?ca3201a9,"May 7, 2024."
13058,rcsetup153.exe,5ffb412044b8bfbcda9dab78cf4e8ac5,Recuva Data Recovery,It recovers files deleted from your Windows computer.,most_popular,https://recuva-data-recovery.informer.com/,12.4 MB,https://recuva-data-recovery.informer.com/download/?ca3537fc,"June 14, 2024."
13059,avc-free.exe,efb56fa10c8065af6a94429fb38cbb5c,Any Video Converter,Rips Audio CDs and converts videos to standard audio file formats.,most_popular,https://any-video-converter.informer.com/,194 MB,https://any-video-converter.informer.com/download/?cf1c70e8,"May 27, 2024."
13060,tcmd1103x32.exe,47652eb88d4db6211a82efed848ac217,Total Commander,Manage your files as in Windows Explorer but with a wealth of other functions.,most_popular,https://total-commander.software.informer.com/,5.4 MB,https://www.ghisler.com,"May 9, 2024."
13061,prowin32legacy.exe,f50f5b978d91b919739ae406cb2e7f50,Intel Network Connections,Installs driver for Intel network adapters and Ethernet controllers.,most_popular,https://intel-network-connections.software.informer.com/,43.8 MB,https://intel-network-connections.software.informer.com/download/?ca1a4de0,"June 8, 2024."
13062,nokia_pc_suite_eng_web.exe,871a25a8eec021197c3c2c4bb5a9f4e4,Nokia PC Suite,A program that connects a Nokia phone to the computer,most_popular,https://nokia-pc-suite.informer.com/,38.8 MB,http://www.nokia.com,"June 1, 2024."
13063,qm_-win-2_8_5-ea31_2.exe,e2cb2820df559dc07e1294efaf9c8428,Canon Quick Menu,Acess quickly to all your Canon pinter functions with this program.,most_popular,https://canon-quick-menu.software.informer.com/,9.1 MB,https://canon-quick-menu.software.informer.com/download/?ca1c8200,"June 23, 2024."
13064,rgsc.rar,e1ba3b5e003eab7b2b1fe4e5c1c5972e,Social Club,Official members-only destination for leaderboards.,most_popular,https://social-club.software.informer.com/,211 MB,https://social-club.software.informer.com/download/?ca173c9d,"July 3, 2023."
13065,eppx-win-4_5_0-en.exe,a5e01e78761f9e8c156216c803c123f4,Easy-PhotoPrint EX,"This program lets you print album, calendar, stickers, etc.",most_popular,https://easy-photoprint-ex.software.informer.com/,57.5 MB,https://easy-photoprint-ex.software.informer.com/download/?cab466a,"April 30, 2024."
13066,gimp-2.8.20-setup.exe,df90eaa5ababdbc4f2e7e0432ba36fe7,GIMP,Free versatile graphics manipulation package,most_popular,https://gimp.software.informer.com/,74 MB,https://gimp.software.informer.com/download/?ca18a8d3,"July 4, 2024."
13068,asio4all_2_15_beta1_english.exe,c0f02d62603de3c681f25f775b58419c,ASIO4ALL,Universal audio-sound device driver for all type of WDM supporting computers,most_popular,https://asio4all.software.informer.com/,269 KB,https://asio4all.software.informer.com/download/?ca239734,"April 25, 2024."
13069,teamspeak3-client-win64-3.6.0.exe,15491b2fb2cfead3b949b49fe3742472,TeamSpeak,Talk to other users using the voice-over-IP protocol.,most_popular,https://teamspeak.informer.com/,107 MB,https://teamspeak.informer.com/download/?ca34a6cf,"September 23, 2023."
13070,safarisetup.exe,0a5b39a859eb84484d5559a8ba22f736,Safari,Fast web browser made by Apple for Windows.,most_popular,https://safari.software.informer.com/,36.7 MB,https://safari.software.informer.com/download/?ca1c81f6,"May 24, 2024."
13071,typingmaster10demo.exe,0f9b7a4e4cc643f539ecbef908056c0d,TypingMaster Pro,Improve your typing speed using customized PC keyboard lessons.,most_popular,https://typingmaster-pro.informer.com/,10.8 MB,https://typingmaster-pro.informer.com/download/?ca350803,"May 30, 2024."
13072,enp_2_6_0_en.exe,9f38a2db1dfba70f725c4058a3dede50,EpsonNet Print,A utility that provides peer to peer printing to Epson devices.,most_popular,https://epsonnet-print.software.informer.com/,3.2 MB,https://epsonnet-print.software.informer.com/download/?ca1c8221,"May 24, 2024."
13073,supercopier-windows-x86_64-4.0.1.11-setup.exe,12263eff8b7e0550626836ab5f88ebf7,SuperCopier,Complete rewrite of the copy interception system with SuperCopier.,most_popular,https://supercopier.informer.com/,6.3 MB,https://supercopier.informer.com/download/?ca687aa,"June 1, 2024."
13074,bdcamsetup.exe,fe31f032fde37c27ed12ad529cfc38a6,Bandicam,"Record games, streaming videos, Windows applications, and webcam feeds.",most_popular,https://bandicam.informer.com/,31.3 MB,https://bandicam.informer.com/download/?ca3607c7,"May 16, 2024."
13075,sony_pc_companion_web.exe,2e8dba19bc7042139f5c950d9669b4af,Sony PC Companion,A collection of tools and applications for your Xperia device.,most_popular,https://sony-pc-companion.software.informer.com/,27.3 MB,https://sony-pc-companion.software.informer.com/download/?cad18d5,"April 30, 2024."
13076,webcamcompanion4_retail_tbyb_all.exe,0bd85a6ba8becd7ffd3d28db50124ad0,ArcSoft WebCam Companion,It is a very useful tool for manipulate images from your webcam.,most_popular,https://arcsoft-webcam-companion.software.informer.com/,75.2 MB,https://arcsoft-webcam-companion.software.informer.com/download/?ca3ae94,"May 24, 2024."
13078,sp58626.exe,95c083cb8cabf71ede791ba236850778,HP Quick Launch,,most_popular,https://hp-quick-launch.software.informer.com/,7.5 MB,https://hp-quick-launch.software.informer.com/download/?ca94331,"May 24, 2024."
13079,qhts.exe,f110dfd8ee59494ff0cca248dfd0aad4,Quick Heal Total Security,Comprehensive Antivirus protection program.,most_popular,https://quick-heal-total-security.software.informer.com/,69.5 MB,https://www.quickheal.co.in/home-users/quick-heal-total-security,"April 25, 2024."
13081,wps_office_free_10.1.0.5795_en.exe,929c3c304093fec3be5b7e457bb79aa7,WPS Office 2016,A productivity office suite similar to Microsoft Office.,most_popular,https://wps-office4.software.informer.com/,71.2 MB,https://wps-office4.software.informer.com/download/?ca164dc4,"May 3, 2024."
13082,cpu-z_2.09-en.exe,f1ce59f81de106aa0ca4672e5971c6f2,CPU-Z,"Get information about your processor, RAM, motherboard, and graphics card.",most_popular,https://cpuid-cpu-z.software.informer.com/,2.1 MB,https://cpuid-cpu-z.software.informer.com/download/?ca35bb37,"July 4, 2024."
13083,minecraftinstaller.msi,02d7f8e22149e154487f2fdddfcec8c5,Minecraft,Game about breaking and placing blocks.,most_popular,https://minecraft.software.informer.com/,2.1 MB,https://minecraft.software.informer.com/download/?ca35d07f,"May 29, 2024."
13084,megasyncsetup.exe,ab2dc3754e370109ea4b9e6d4f118eb6,MEGAsync,It enables you to effortlessly synchronize folders on several computers.,most_popular,https://megasync.software.informer.com/,64.9 MB,https://megasync.software.informer.com/download/?ca36a46b,"May 18, 2024."
13085,tch0311800c.exe,9af1c24548876ae86da95f248d03d26b,TOSHIBA Service Station,Allows your computer to automatically search for TOSHIBA software updates.,most_popular,https://toshiba-service-station.software.informer.com/,48.5 MB,https://support.dynabook.com/support/viewContentDetail?contentId=4015567,"May 1, 2024."
13086,revosetup.exe,63150c4846bfbcf27fa70ccaa8a01943,Revo Uninstaller,Uninstall software and remove unwanted programs.,most_popular,https://revo-uninstaller.informer.com/,6.6 MB,http://www.revouninstaller.com,"June 5, 2024."
13087,vscodeusersetup-x64-1.87.2.exe,daf5ea4330bfe2a799fa9d74803a636b,Microsoft Visual Studio Code,"Free source code editor with support for C++, C#, Python, PHP, and Go.",most_popular,https://microsoft-visual-studio-code.software.informer.com/,93.5 MB,https://microsoft-visual-studio-code.software.informer.com/download/?cf269079,"March 15, 2024."
13088,sp67743.exe,3e2d65a20531382b6382a3f4fe9a2d52,HP CoolSense,,most_popular,https://hp-coolsense.software.informer.com/,9.4 MB,https://hp-coolsense.software.informer.com/download/?ca1bd326,"May 25, 2024."
13090,vpsetup.exe,3419aca18d69883f6022ade4e0370626,VideoPad Video Editor,Create movie projects from various video clips or a single video file.,most_popular,https://videopad-video-editor.software.informer.com/,3.6 MB,https://videopad-video-editor.software.informer.com/download/?ca220290,"May 20, 2024."
13091,uplayinstaller.exe,1c2d115033a6a5f422c2074a44ad23b9,uPLAY by Ubisoft,Client for multiplatform social service by Ubisoft.,most_popular,https://uplay.software.informer.com/,113 MB,https://uplay.ubisoft.com/,"June 4, 2024."
13093,avast_secure_browser_setup.exe,287324f9050e8f19527e1d9a4910901f,Avast Secure Browser,,most_popular,https://avast-secure-browser.software.informer.com/,5.7 MB,https://avast-secure-browser.software.informer.com/download/?ca363db4,"May 29, 2024."
13094,camtasia.exe,864c253ee677b4609b331d451009a871,Camtasia,"Record screen, camera, microphone, and edit video.",most_popular,https://camtasia.informer.com/,240 MB,https://camtasia.informer.com/download/?ca62342,"June 24, 2024."
13095,plantsvszombiessetup_1_2.exe,506af5215b389f1cbe41d390eb0db259,Plants vs. Zombies,Tower defense game for Windows.,most_popular,https://plants-vs-zombies.software.informer.com/,31.1 MB,http://www.popcap.com,"April 27, 2024."
13096,setupvirtualclonedrive5520.exe,dec8eda3a1af6a8039987fe854a84a91,VirtualCloneDrive,Virtual CloneDrive can emulate a physical CD/DVD drive.,most_popular,https://virtualclonedrive.informer.com/,1.7 MB,https://virtualclonedrive.informer.com/download/?ca328dfd,"June 23, 2024."
13097,avg_antivirus_free_setup.exe,f3db5d87a0054c0feee575c4542a2d0f,AVG AntiVirus Free,"Protects your computer from viruses, spyware, ransomware, and other malware.",most_popular,https://avg-antivirus-free.informer.com/,229 KB,https://avg-antivirus-free.informer.com/download/?cf25ad8d,"April 24, 2024."
13098,dell-update-application_4985d_win_3.0.1_a00_01.exe,e08f08e87d0b2d98ad86622a3e9303d4,Dell Update,Automatically updates critical fixes and important device drivers.,most_popular,https://dell-update.software.informer.com/,28.1 MB,https://dell-update.software.informer.com/download/?ca2e2d07,"June 9, 2024."
13099,revouninprosetup.exe,b0f15df675ff3ff11fe6eac7a32e4409,Revo Uninstaller Pro,Remove any of the apps and programs installed on your PC easily.,most_popular,https://revo-uninstaller-pro.software.informer.com/,16.9 MB,https://revo-uninstaller-pro.software.informer.com/download/?ca35be97,"May 14, 2024."
13100,sp49408.exe,670260fa73b6795ef69a26883ce5f70d,HP Wireless Assistant,User application that provides a way to control the enablement of individ,most_popular,https://hp-wireless-assistant.software.informer.com/,17.7 MB,https://hp-wireless-assistant.software.informer.com/download/?ca1bbcd,"May 24, 2024."
13101,lscsetup_x86_312003.exe,d6fccef48d185ff38cf8312791652f8e,Lenovo Solution Center,Customizes the experience of Lenovo laptops for users.,most_popular,https://lenovo-solution-center.software.informer.com/,71.5 MB,https://lenovo-solution-center.software.informer.com/download/?ca1c821c,"May 5, 2024."
13103,sp71729.exe,0df2e56b5cc842ce158b2d3c513a7220,HP SimplePass,Fingerprint management/security application.,most_popular,https://hp-simplepass.software.informer.com/,92.2 MB,https://hp-simplepass.software.informer.com/download/?ca1323f8,"July 2, 2024."
13104,vulkansdk-1.0.37.0-installer.exe,a8893a29b65beeb07779b6c5bd9c66e3,Vulkan Run Time Libraries,"Runtime components for building, running, and debugging Vulkan applications.",most_popular,https://vulkan-run-time-libraries.software.informer.com/,132 MB,https://vulkan-run-time-libraries.software.informer.com/download/?ca17d112,"April 8, 2024."
13105,setup_avrokeyboard_5.6.0.exe,03e5fe1b8af5a48e6980608e12a26ccc,Avro Keyboard,Type in Beglali language (Bangla) using English Phonetic words.,most_popular,https://avro-keyboard.software.informer.com/,6.7 MB,https://avro-keyboard.software.informer.com/download/?ca319b4d,"September 23, 2023."
13106,manycamsetup.exe,5d8892d712bf5f99fc117ad398e0a16f,ManyCam,"Record, mix, and stream webcam feed, with customized backgrounds and PiP modes.",most_popular,https://manycam.informer.com/,118 MB,https://manycam.com/,"May 27, 2024."
13107,mysql-5.7.21-win32.zip,fc7cfdeab93c51ad85aaf92b77424dcd,MySQL Community Server,It is an open-source relational database management system.,most_popular,https://mysql-server.software.informer.com/,306 MB,https://mysql-server.software.informer.com/download/?ca1a94de,"September 27, 2023."
13108,ep0000605001.exe,757e53caff03877d9b22c0c4986f6818,VAIO Control Center,Control Center lets you manage all the hardware settings of your VAIO laptop.,most_popular,https://vaio-control-center.software.informer.com/,18.2 MB,http://esupport.sony.com/US/p/swu-download.pl?mdl=VPCZ21CGX&upd_id=7862&os_group_id=24,"June 10, 2024."
13109,dfsetup222.exe,6961ad3a4a5625db89cf901d3b48d597,Defraggler,It can optimize your hard disk’s performance.,most_popular,https://defraggler.software.informer.com/,7.1 MB,http://www.piriform.com/defraggler,"May 7, 2024."
13110,backup-and-recovery_application_gx7tx_wn32_1.9.2.8_a00.exe,7961a9656e840ee58cea06e68a24963f,Dell Backup and Recovery,Backs up the data on Dell PCs and restores it in case of failure.,most_popular,https://dell-backup-and-recovery.software.informer.com/,178 MB,https://dell-backup-and-recovery.software.informer.com/download/?ca1a509f,"June 15, 2024."
13111,pdfc_corp_41045_demo.exe,34cc9307e01ef6b033bfb1b0aa7ef5b9,PDF Complete,This tool can create PDF documents from multiple applications.,most_popular,https://pdf-complete.informer.com/,56.9 MB,https://pdf-complete.informer.com/download/?ca1c8934,"October 19, 2023."
13112,setup.exe,d1be561690e1d91e515faf9581cf81a6,Fraps,Real-time video capture & benchmarking software.,most_popular,https://fraps.informer.com/,2.4 MB,http://www.fraps.com,"July 3, 2024."
13113,avg_tuneup_online_setup.exe,572106c8bf1c977f6f8be6c47c4b8f51,TuneUp Utilities,Set of tools to optimize and clean up your PC.,most_popular,https://tuneup-utilities.informer.com/,1.5 MB,https://tuneup-utilities.informer.com/download/?ca36c6e8,"May 24, 2024."
13114,soavca-00229335-1060.exe,7ee4c417ea99b4e3d0f1e2ed59e4fada,VAIO Care,It supplements regular care and maintenance of your computer.,most_popular,https://vaio-care.software.informer.com/,46.9 MB,https://vaio-care.software.informer.com/download/?ca1e1d3,"May 24, 2024."
13115,folder-lock-rd.exe,6146581ce8d67a8a3da377aeba0b3a8d,Folder Lock,"Password-protect your sensitive files, folders, drives, and even USB devices.",most_popular,https://folder-lock.informer.com/,9.4 MB,https://folder-lock.informer.com/download/?ca11cce2,"June 4, 2024."
